feature,coef,abs_coef
Therapy_plus_Health,17.4867102025674,17.4867102025674
Therapy Hours,4.535398472367537,4.535398472367537
Lifestyle Activities_No,-0.5356829469735261,0.5356829469735261
Average Sleep Hours,0.5311051175299697,0.5311051175299697
Follow-Up Sessions,0.5202606440395625,0.5202606440395625
Sleep_x_Health,0.26277990976422916,0.26277990976422916
Therapy_x_Sleep,0.1711251526956891,0.1711251526956891
Therapy_x_Health,0.1225279474350817,0.1225279474350817
log_Health,0.06505259629898538,0.06505259629898538
FollowUp_x_Health,0.012343282843681887,0.012343282843681887
Initial Health Score,0.0,0.0
Sleep_plus_Health,0.0,0.0
Therapy_Health_ratio,0.0,0.0
Sleep_Health_ratio,0.0,0.0
log_Therapy,0.0,0.0
Lifestyle Activities_Yes,0.0,0.0
