feature,coef,abs_coef
Therapy_plus_Health,5.554677080368041,5.554677080368041
Initial Health Score,4.906068888487796,4.906068888487796
Sleep_plus_Health,4.791879508437422,4.791879508437422
Therapy Hours,4.688731953523887,4.688731953523887
log_Health,2.423369176286657,2.423369176286657
Therapy_x_Health,1.1101875632480909,1.1101875632480909
Therapy_Health_ratio,1.072843132523265,1.072843132523265
Sleep_x_Health,0.9405504367394305,0.9405504367394305
Average Sleep Hours,-0.9331092147405509,0.9331092147405509
Sleep_Health_ratio,0.8404403201911049,0.8404403201911049
Follow-Up Sessions,0.6017617739299981,0.6017617739299981
Lifestyle Activities_No,-0.3042788788558143,0.3042788788558143
Lifestyle Activities_Yes,0.3042788788557197,0.3042788788557197
log_Therapy,-0.08169932907377644,0.08169932907377644
Therapy_x_Sleep,0.07437150974097793,0.07437150974097793
FollowUp_x_Health,-0.05955063301038382,0.05955063301038382
