feature,coef,abs_coef
Therapy_plus_Health,5.537003463106929,5.537003463106929
Initial Health Score,4.898092603465704,4.898092603465704
Sleep_plus_Health,4.784252867045722,4.784252867045722
Therapy Hours,4.6227913999992625,4.6227913999992625
log_Health,2.4551179013029127,2.4551179013029127
Therapy_x_Health,1.1491982078279017,1.1491982078279017
Therapy_Health_ratio,1.109977294377002,1.109977294377002
Sleep_x_Health,0.9390421762533302,0.9390421762533302
Average Sleep Hours,-0.9299096058859049,0.9299096058859049
Sleep_Health_ratio,0.8379060359358615,0.8379060359358615
Follow-Up Sessions,0.60126415998357,0.60126415998357
Lifestyle Activities_No,-0.3042456570162445,0.3042456570162445
Lifestyle Activities_Yes,0.30424565701614376,0.30424565701614376
log_Therapy,-0.08036698053045552,0.08036698053045552
Therapy_x_Sleep,0.075250235837564,0.075250235837564
FollowUp_x_Health,-0.059002911001203716,0.059002911001203716
